region,district,city,neighborhood,mls,url,year,quarter,price_band,boundary_id,vendor,subtype,liveby_url,tech_contact
Cape Cod,Lower Cape,Brewster,,Cape Cod & Islands MLS,https://www.sothebysrealty.com/eng/capecod/magazines/market,"2018, 2019, 2020, 2021",4,,5bad813d7aa9ce0001247dc9,ccimls,SingleFamilyResidence,https://admin.liveby.com/preview.html?id=vYrv2gvmc8&neighborhood=Brewster&brokerage=liveby&features=map,kristin.kiceluk@sothebys.realty
Cape Cod,Lower Cape,Chatham,,Cape Cod & Islands MLS,https://www.sothebysrealty.com/eng/capecod/magazines/market,"2018, 2019, 2020, 2021",4,,5e78a71377d381411865d42c,ccimls,SingleFamilyResidence,https://admin.liveby.com/preview.html?id=Xfav2cUTc8&neighborhood=Chatham&brokerage=liveby&features=map,kristin.kiceluk@sothebys.realty
Cape Cod,Lower Cape,Eastham,,Cape Cod & Islands MLS,https://www.sothebysrealty.com/eng/capecod/magazines/market,"2018, 2019, 2020, 2021",4,,5bad812827456200019325e5,ccimls,SingleFamilyResidence,https://admin.liveby.com/preview.html?id=lsaw2YuSc8&neighborhood=Eastham&brokerage=liveby&features=map,kristin.kiceluk@sothebys.realty
Cape Cod,Lower Cape,Harwich,,Cape Cod & Islands MLS,https://www.sothebysrealty.com/eng/capecod/magazines/market,"2018, 2019, 2020, 2021",4,,5bad813f3878760001a61ba3,ccimls,SingleFamilyResidence,https://admin.liveby.com/preview.html?id=Xegv2SUic8&neighborhood=Harwich&brokerage=liveby&features=map,kristin.kiceluk@sothebys.realty
Cape Cod,Lower Cape,Orleans,,Cape Cod & Islands MLS,https://www.sothebysrealty.com/eng/capecod/magazines/market,"2018, 2019, 2020, 2021",4,,5bad812f18d5ab0001ebf900,ccimls,SingleFamilyResidence,https://admin.liveby.com/preview.html?id=njvv2SlRc8&neighborhood=Orleans&brokerage=liveby&features=map,kristin.kiceluk@sothebys.realty
Cape Cod,Lower Cape,,,Cape Cod & Islands MLS,https://www.sothebysrealty.com/eng/capecod/magazines/market,"2018, 2019, 2020, 2021",4,,5be61d43fc1f295d61255f3e,ccimls,SingleFamilyResidence,https://admin.liveby.com/preview.html?id=jdmv2YYWc8&neighborhood=Lower%20Cape&brokerage=liveby&features=map,kristin.kiceluk@sothebys.realty
Cape Cod,Mid Cape,Barnstable,Centerville,Cape Cod & Islands MLS,https://www.sothebysrealty.com/eng/capecod/magazines/market,"2018, 2019, 2020, 2021",4,,5e73f92a9ec42d6065a6b426,ccimls,SingleFamilyResidence,https://admin.liveby.com/preview.html?id=TiZv2Ujce8&neighborhood=Centerville&brokerage=liveby&features=map,kristin.kiceluk@sothebys.realty
Cape Cod,Mid Cape,Barnstable,Cotuit,Cape Cod & Islands MLS,https://www.sothebysrealty.com/eng/capecod/magazines/market,"2018, 2019, 2020, 2021",4,,5e73f92f9ec42d6065a6b428,ccimls,SingleFamilyResidence,https://admin.liveby.com/preview.html?id=lcTv2Wuve8&neighborhood=Cotuit&brokerage=liveby&features=map,kristin.kiceluk@sothebys.realty
Cape Cod,Mid Cape,Barnstable,Hyannisport / West Hyannisport,Cape Cod & Islands MLS,https://www.sothebysrealty.com/eng/capecod/magazines/market,"2018, 2019, 2020, 2021",4,,61f189a39d9c9700093604b5,ccimls,SingleFamilyResidence,https://admin.liveby.com/preview.html?id=VkUv2kSWe8&neighborhood=Hyannisport%20/%20West%20Hyannisport&brokerage=liveby&features=map,kristin.kiceluk@sothebys.realty
Cape Cod,Mid Cape,Barnstable,Osterville,Cape Cod & Islands MLS,https://www.sothebysrealty.com/eng/capecod/magazines/market,"2018, 2019, 2020, 2021",4,,5e743428203b81749b82877b,ccimls,SingleFamilyResidence,https://admin.liveby.com/preview.html?id=ZTWv2Woke8&neighborhood=Osterville&brokerage=liveby&features=map,kristin.kiceluk@sothebys.realty
