area_key,area_vendor,report_year,report_total_sold,lb_total_sold,total_sold_match,report_days_on_market,lb_days_on_market,days_on_market_match,report_median_sale,lb_median_sale,median_sale_match,report_avg_list,lb_avg_list,avg_list_match,report_avg_sale,lb_avg_sale,avg_sale_match,report_list_ratio,lb_list_ratio,list_ratio_match,area_boundary_id,area_subtype,report_quarter
Cape Cod-Lower Cape-Brewster,ccimls,2018,64.0,48.0,0.75,74.0,80.0,0.9189189189189189,436950.0,473000.0,0.9174962810390205,,610985.0,,534982.0,594039.0,0.8896093700348797,97.0,98.0,0.9896907216494846,5bad813d7aa9ce0001247dc9,SingleFamilyResidence,4
Cape Cod-Lower Cape-Brewster,ccimls,2019,34.0,34.0,1.0,86.0,86.0,1.0,448250.0,448250.0,1.0,,652147.0,,629696.0,629696.0,1.0,97.0,97.0,1.0,5bad813d7aa9ce0001247dc9,SingleFamilyResidence,4
Cape Cod-Lower Cape-Brewster,ccimls,2020,64.0,64.0,1.0,50.0,50.0,1.0,636250.0,636250.0,1.0,,757069.0,,754701.0,754701.0,1.0,100.0,101.0,0.99,5bad813d7aa9ce0001247dc9,SingleFamilyResidence,4
Cape Cod-Lower Cape-Brewster,ccimls,2021,48.0,48.0,1.0,25.0,25.0,1.0,750000.0,750000.0,1.0,,1024102.0,,1016658.0,1016658.0,1.0,99.0,102.0,0.9696969696969697,5bad813d7aa9ce0001247dc9,SingleFamilyResidence,4
Cape Cod-Lower Cape-Chatham,ccimls,2018,62.0,39.0,0.6290322580645161,209.0,105.0,0.5023923444976077,700500.0,760000.0,0.9150606709493219,,909344.0,,1453317.0,877900.0,0.6040664218474014,95.0,97.0,0.9789473684210527,5bad812f18d5ab0001ebf900,SingleFamilyResidence,4
Cape Cod-Lower Cape-Chatham,ccimls,2019,53.0,34.0,0.6415094339622642,192.0,120.0,0.625,727000.0,696450.0,0.9579779917469051,,939662.0,,1024930.0,864618.0,0.8435873669421327,94.0,93.0,0.9893617021276596,5bad812f18d5ab0001ebf900,SingleFamilyResidence,4
Cape Cod-Lower Cape-Chatham,ccimls,2020,94.0,68.0,0.7234042553191489,97.0,115.0,0.8144329896907216,973750.0,770000.0,0.7907573812580231,,1224907.0,,1384231.0,1177583.0,0.8507127784307678,97.0,97.0,1.0,5bad812f18d5ab0001ebf900,SingleFamilyResidence,4
Cape Cod-Lower Cape-Chatham,ccimls,2021,58.0,31.0,0.5344827586206897,31.0,38.0,0.7741935483870968,1325000.0,920000.0,0.6943396226415095,,1167977.0,,2246570.0,1153056.0,0.513251757123081,97.0,101.0,0.9587628865979382,5bad812f18d5ab0001ebf900,SingleFamilyResidence,4
Cape Cod-Lower Cape-Eastham,ccimls,2018,58.0,56.0,0.9655172413793104,98.0,99.0,0.9897959183673469,477500.0,482000.0,0.9905759162303664,,553097.0,,519817.0,530829.0,0.9788156216514659,96.0,97.0,0.9895833333333334,5bad812827456200019325e5,SingleFamilyResidence,4
Cape Cod-Lower Cape-Eastham,ccimls,2019,53.0,53.0,1.0,99.0,101.0,0.9797979797979798,519000.0,519000.0,1.0,,654926.0,,629650.0,629650.0,1.0,96.0,97.0,0.9895833333333334,5bad812827456200019325e5,SingleFamilyResidence,4
