vendor,status,mls_status_0,mls_status_1,mls_status_2,mls_status_3,mls_status_4
armls,Active,Active,,,,
armls,ActiveUnderContract,Active,,,,
armls,Pending,Active,Pending,,,
bright,Active,ACTIVE,,,,
bright,Active,ACTIVE,,,,
bright,ActiveUnderContract,ACTIVE UNDER CONTRACT,,,,
bright,ActiveUnderContract,ACTIVE UNDER CONTRACT,,,,
bright,Pending,,PENDING,,,
bright,Pending,PENDING,,,,
ccimls,Active,Active,,,,
ccimls,ActiveUnderContract,Contingent - No Showings,,,,
ccimls,Pending,Pending/Continue to Show,Pending,,,
cin,Active,Active,,,,
cin,Pending,Pending,,,,
cmcmls,Active,ACTIVE,ACTIVE - RENTAL,Price Change,UNDER CONTRACT CON/SHOW,ACT-Limited Rep.
cmcmls,Pending,UNDER CONTRACT,,,,
cren,Active,UC/Kick Out,NEW,Back on Market,Active,
cren,Pending,UC/Sale Pending,UC/Contingent/Call LB,,,
fmls,Active,Active,,,,
fmls,ActiveUnderContract,Active Under Contract,,,,
fmls,Pending,Pending Offer Approval,Pending,,,
gamls,Active,New,Back On Market,Active,Contingent With Kickout,
gamls,Pending,Lease/Purchase,Pending Approval,Pending Offer Approval,Under Contract,
gsmls,Active,Active,,,,
gsmls,ActiveUnderContract,Under Contract Cont. to Show,,,,
hkar,Active,ACTIVE,,,,
ires,Active,Active,,,,
ires,ActiveUnderContract,Active,,,,
ires,Pending,Pending,,,,
las,Active,Active,,,,
las,Active,Active,,,,
las,ActiveUnderContract,Under Contract - Show,,,,
las,ActiveUnderContract,Under Contract - Show,,,,
las,Pending,Under Contract - No Show,,,,
las,Pending,Under Contract - No Show,,,,
lou,Active,Active,,,,
lou,ActiveUnderContract,Active Under Contract,,,,
lou,Pending,Pending,,,,
lvar,Active,Available,,,,
lvar,ActiveUnderContract,Avail w/Contingency,,,,
lvar,Pending,Under Agreement,,,,
momls,Active,Active,,,,
momls,Active,Active,,,,
momls,ActiveUnderContract,Continue to Show,,,,
momls,ActiveUnderContract,Continue to Show,,,,
momls,Pending,Under Contract,,,,
momls,Pending,Under Contract,,,,
mreis,Active,Active,,,,
mreis,Active,Active,,,,
mreis,Pending,Pending,Pending Continue to Show,,,
mreis,Pending,Pending Continue to Show,Pending,,,
njmls,Active,Active - Atty Revu,Active,,,
njmls,ActiveUnderContract,Active - Atty Revu,UC - Cont to Show,,,
nky,Active,Active,,,,
nky,Pending,Pending,,,,
nmar,Active,Active,,,,
nmar,ActiveUnderContract,Under Contract with Bump Clause,,,,
nmar,Pending,Under Contract Taking Back-Up Offers,Pending,,,
nne,Active,Active,,,,
nne,Active,Active,,,,
nne,Active,Active,,,,
nne,ActiveUnderContract,Active Under Contract,Pending,,,
nne,ActiveUnderContract,Active Under Contract,Pending,,,
nne,ActiveUnderContract,Active Under Contract,Pending,,,
ntreis,Active,Active,,,,
ntreis,ActiveUnderContract,Active Kick Out,Active Contingent,Active Option Contract,,
ntreis,Pending,Pending,,,,
pin,Active,Active,,,,
pin,Active,Active,,,,
pin,ActiveUnderContract,Active Under Contract,,,,
pin,ActiveUnderContract,Active Under Contract,,,,
pin,Pending,Pending,Under Agreement,,,
pin,Pending,Pending,Under Agreement,,,
pmar,Active,Active,,,,
recolorado,Active,Expired,Pending,Active,,
recolorado,Active,Expired,Pending,Active,,
recolorado,ActiveUnderContract,Pending,,,,
recolorado,ActiveUnderContract,Pending,,,,
recolorado,Pending,Pending,,,,
recolorado,Pending,Pending,,,,
risw,Active,Active,,,,
risw,ActiveUnderContract,Act Und Contract,,,,
risw,Pending,Pending,,,,
sacm,Active,Contingent - Show,Pending,Active,,
sacm,ActiveUnderContract,Active,Contingent - Show,,,
sacm,Pending,Duplicate Canceled,Pending,Pending Bring Backup,Contingent - No Show,Active
sira,Active,Active,,,,
sira,Pending,Pending,,,,
sjsr,Active,Application Received,Active,Back on Market,Extended,UnderContract-Cont toShow
sjsr,ActiveUnderContract,Under Contract,,,,
swmt,Active,Active,,,,
swmt,Pending,Contingent,Pending,,,
triad,Active,Proposed Construction,Active,,,
triad,ActiveUnderContract,Pending,Due Diligence Period,,,
triad,Pending,Short Sale Contingent,Due Diligence Period,Pending,,Pending AB
